Reg Number	Variant ID	Chapter Number	Chapter Title	Plate Title	Page		
373	66316	1.01		Vertebral Column	2		
395	66317	1.01	Cervical Spine	Atlas and Axis -- Anatomy of Craniocervical Junction	3		
1323	66318	1.01	Cervical Spine	External Craniocervical Ligaments	4		
398	66319	1.01	Cervical Spine	Internal Craniocervical Ligaments	5		
41918	66320	1.01	Cervical Spine	Suboccipital Triangle	6		
41919	66321	1.01	Cervical Spine	Dens Fracture	7		
41920	66322	1.01	Cervical Spine	Jefferson and Hangman’s Fractures	8		
41921	66323	1.01	Cervical Spine	Cervical Vertebrae	9		
3173	66324	1.01	Cervical Spine	Muscles of Back: Superficial Layers	10		
41922	66325	1.01	Cervical Spine	Muscles of Back: Intermediate and Deep Layers	11		
5505	66326	1.01	Cervical Spine	Spinal Nerves and Sensory Dermatomes	12		
3435	66327	1.01	Cervical Spine	Cervical Spondylosis	13		
41923	66328	1.01	Cervical Spine	Cervical Spondylosis and Myelopathy	14		
3524	66329	1.01	Cervical Spine	Cervical Disc Herniation: Clinical Manifestations	15		
C0718	66349	1.01	Cervical Spine	Surgical Approaches for the Treatment of Myelopathy and Radiculopathy	16		
2447	66350	1.01	Cervical Spine	Extravascular Compression of Vertebral Arteries	17		
41924	66351	1.02	Thoracolumbular and Sacral Spine	Thoracic Vertebrae and Ligaments	18		
400	66352	1.02	Thoracolumbular and Sacral Spine	Lumbar Vertebrae and Intervertebral Discs	19		
402	66353	1.02	Thoracolumbular and Sacral Spine	Sacral Spine and Pelvis	20		
2297	66354	1.02	Thoracolumbular and Sacral Spine	Lumbosacral Ligaments	21		
i6110	66356	1.02	Thoracolumbular and Sacral Spine	Degenerative Disc Disease	22		
41925	66355	1.02	Thoracolumbular and Sacral Spine	Lumbar Disc Herniation	23		
41926	66357	1.02	Thoracolumbular and Sacral Spine	Lumbar Spinal Stenosis	24		
41927	66358	1.02	Thoracolumbular and Sacral Spine	Lumbar Spinal Stenosis (Continued)	25		
41928	66359	1.02	Thoracolumbular and Sacral Spine	Degenerative Lumbar Spondylolisthesis	26		
41929	66360	1.02	Thoracolumbular and Sacral Spine	Degenerative Spondylolisthesis: Cascading Spine	27		
41930	66361	1.02	Thoracolumbular and Sacral Spine	Adult Deformity	28		
41931	66362	1.02	Thoracolumbular and Sacral Spine	Three-Column Concept of Spinal Stability and Compression Fractures	29		
41932	66363	1.02	Thoracolumbular and Sacral Spine	Compression Fractures (Continued)	30		
41933	66364	1.02	Thoracolumbular and Sacral Spine	Burst, Chance, and Unstable Fractures	31		
3146	66365	1.03	Deformities of Spine	Congenital Anomalies of Occipitocervical Junction	32		
3147	66366	1.03	Deformities of Spine	Congenital Anomalies of Occipitocervical Junction (Continued)	33		
3133	66367	1.03	Deformities of Spine	Synostosis of Cervical Spine (Klippel-Feil Syndrome)	34		
3132	66368	1.03	Deformities of Spine	Clinical Appearance of Congenital Muscular Torticollis (Wryneck)	35		
3145	66369	1.03	Deformities of Spine	Clinical Appearance of Congenital Muscular Torticollis (Wryneck)	36		
2163	66370	1.03	Deformities of Spine	Pathologic Anatomy of Scoliosis	37		
2164	66371	1.03	Deformities of Spine	Typical Scoliosis Curve Patterns	38		
2165	66372	1.03	Deformities of Spine	Congenital Scoliosis: Closed Vertebral Types (MacEwen Classification)	39		
41934	66373	1.03	Deformities of Spine	Clinical Evaluation of Scoliosis	40		
41935	66374	1.03	Deformities of Spine	Determination of Skeletal Maturation, Measurement of Curvature, and Measurement of Rotation	41		
41936	66375	1.03	Deformities of Spine	Braces for Scoliosis	42		
3591	66376	1.03	Deformities of Spine	Scheuermann Disease	43		
3902	66377	1.03	Deformities of Spine	Congenital Kyphosis	44		
4679	66378	1.03	Deformities of Spine	Spondylolysis and Spondylolisthesis	45		
3134	66379	1.03	Deformities of Spine	Myelodysplasia	46		
3135	66380	1.03	Deformities of Spine	Lumbosacral Agenesis	47		
41937	66381	2.01	PHT Anatomy	Superficial Veins and Cutaneous Nerves	50		
3122	66382	2.01	PHT Anatomy	Lumbosacral Plexus	52		
3123	66383	2.01	PHT Anatomy	Sacral and Coccygeal Plexuses	53		
2405	66384	2.01	PHT Anatomy	Nerves of Buttock	54		
2403	66385	2.01	PHT Anatomy	Femoral Nerve (L2, 3, 4) and Lateral Femoral Cutaneous Nerve (L2, 3)	55		
2404	66386	2.01	PHT Anatomy	Obturator Nerve (L2, 3, 4)	56		
2406	66387	2.01	PHT Anatomy	Sciatic Nerve (L4, 5; S1, 2, 3) and Posterior Femoral Cutaneous Nerve (S1, 2, 3)	57		
682	66388	2.01	PHT Anatomy	Muscles of Front of Hip and Thigh	58		
3124	66389	2.01	PHT Anatomy	Muscles of Hip and Thigh (Anterior and Lateral Views)	59		
683	66390	2.01	PHT Anatomy	Muscles of Back of Hip and Thigh	60		
i6870	66391	2.01	PHT Anatomy	Bony Attachments of Muscles of Hip and Thigh: Anterior View	61		
4861	66392	2.01	PHT Anatomy	Bony Attachments of Muscles of Hip and Thigh: Posterior View	62		
41938	66393	2.01	PHT Anatomy	Cross-Sectional Anatomy of Hip: Axial View	63		
41939	66394	2.01	PHT Anatomy	Cross-Sectional Anatomy of Hip: Coronal View	64		
3150	66395	2.01	PHT Anatomy	Cross-Sectional Anatomy of Thigh	65		
3125	66396	2.01	PHT Anatomy	Arteries and Nerves of Thigh: Anterior Views	66		
3126	66397	2.01	PHT Anatomy	Arteries and Nerves of Thigh: Deep Dissection (Anterior View)	67		
3127	66398	2.01	PHT Anatomy	Arteries and Nerves of Thigh: Deep Dissection (Posterior view)	68		
3148	66399	2.01	PHT Anatomy	Bones and Ligaments at Hip: Osteology of the Femur	69		
3151	66400	2.01	PHT Anatomy	Bones and Ligaments at Hip: Hip Joint	70		
41940	66401	2.02	Physical Examination	Physical Examination	71		
3276	66402	2.03	Deformities of Pelvis and Femur	Proximal Femoral Focal Deficiency: Radiographic Classification	72		
41941	66403	2.03	Deformities of Pelvis and Femur	Proximal Femoral Focal Deficiency: Clinical Presentation	73		
3279	66404	2.03	Deformities of Pelvis and Femur	Congenital Short Femur with Coxa Vara	74		
2901	66405	2.03	Deformities of Pelvis and Femur	Recognition of Developmental Dislocation of the Hip	75		
2907	66406	2.03	Deformities of Pelvis and Femur	Clinical Findings in Developmental Dislocation of Hip	76		
2903	66407	2.03	Deformities of Pelvis and Femur	Radiologic Diagnosis of Developmental Dislocation of Hip	77		
2906	66408	2.03	Deformities of Pelvis and Femur	Adaptive Changes in Dislocated Hip That Interfere with Reduction	78		
2910	66409	2.03	Deformities of Pelvis and Femur	Device for Treatment of Clinically Reducible Dislocation of Hip	79		
2908	66410	2.03	Deformities of Pelvis and Femur	Blood Supply to Femoral Head in Infancy	80		
3542	66411	2.03	Deformities of Pelvis and Femur	Legg-Clavé-Perthes Disease: Pathogenesis	81		
3545	66412	2.03	Deformities of Pelvis and Femur	Legg-Clavé-Perthes Disease: Physical Examination	82		
3544	66413	2.03	Deformities of Pelvis and Femur	Legg-Clavé-Perthes Disease: Physical Examination (Continued)	83		
41942	66414	2.03	Deformities of Pelvis and Femur	Stages of Legg-Calvé-Perthes Disease	84		
41943	66415	2.03	Deformities of Pelvis and Femur	Legg-Calvé-Perthes Disease: Lateral Pillar Classification	85		
41944	66416	2.03	Deformities of Pelvis and Femur	Legg-Calvé-Perthes Disease: Conservative Management	86		
3556	66417	2.03	Deformities of Pelvis and Femur	Femoral Varus Derotational Osteotomy	87		
3555	66420	2.03	Deformities of Pelvis and Femur	Innominate Osteotomy	88		
41945	66421	2.03	Deformities of Pelvis and Femur	Innominate Osteotomy (Continued)	89		
3275	66422	2.03	Deformities of Pelvis and Femur	Physical Examination and Classification of Slipped Capital Femoral Epiphysis	90		
41946	66423	2.03	Deformities of Pelvis and Femur	Pin Fixation in Slipped Capital Femoral Epiphysis	91		
41947	66424	2.04	Disorders of the Hip	Hip Joint Involvement in Osteoarthritis	92		
41948	66425	2.04	Disorders of the Hip	Total Hip Replacement:  Prostheses	93		
3723	66426	2.04	Disorders of the Hip	Total Hip Replacement: Steps 1 to 3	94		
41949	66427	2.04	Disorders of the Hip	Total Hip Replacement: Steps 4 to 8	95		
3725	66428	2.04	Disorders of the Hip	Total Hip Replacement: Steps 9 to 12	96		
3726	66429	2.04	Disorders of the Hip	Total Hip Replacement: Steps 13 to 18	97		
41950	66430	2.04	Disorders of the Hip	Total Hip Replacement: Steps 19 and 20	98		
3728	66431	2.04	Disorders of the Hip	Total Hip Replacement: Dysplastic Acetabulum	99		
3729	66432	2.04	Disorders of the Hip	Total Hip Replacement: Protrusio Acetabuli	100		
3730	66433	2.04	Disorders of the Hip	Total Hip Replacement: Complications—Loosening of Femoral Component	101		
41951	66434	2.04	Disorders of the Hip	Total Hip Replacement: Complications—Fractures of Femur and Femoral Component	102		
3732	66435	2.04	Disorders of the Hip	Total Hip Replacement: Complications—Loosening of Acetabular Component and Dislocation of Total Hip Prosthesis	103		
3733	66436	2.04	Disorders of the Hip	Total Hip Replacement:  Infection	104		
3734	66437	2.04	Disorders of the Hip	Total Hip Replacement: Hemiarthroplasty of Hip	105		
41952	66438	2.04	Disorders of the Hip	Hip Resurfacing	106		
M3996	66439	2.04	Disorders of the Hip	Rehabilitation After Total Hip Replacement	107		
41953	66440	2.04	Disorders of the Hip	Femoroacetabular Impingement/Hip Labral Tears	108		
41954	66441	2.04	Disorders of the Hip	Avascular Necrosis	109		
41955	66442	2.04	Disorders of the Hip	Trochanteric Bursitis	110		
41956	66443	2.04	Disorders of the Hip	Snapping Hip (Coxa Saltans)	111		
41957	66444	2.04	Disorders of the Hip	Muscle Strains	112		
41958	66445	2.05	Trauma	Injury to Pelvis: Stable Pelvic Ring Fractures	113		
41959	66446	2.05	Trauma	Injury to Pelvis: Straddle Fracture and Lateral Compression Injury	114		
5369	66447	2.05	Trauma	Injury to Pelvis: Open Book Fracture	115		
41960	66448	2.05	Trauma	Injury to Pelvis: Vertical Shear Fracture	116		
5371	66449	2.05	Trauma	Injury to Hip: Acetabular Fractures	117		
41961	66450	2.05	Trauma	Injury to Hip: Acetabular Fractures (Continued)	118		
41962	66451	2.05	Trauma	Injury to Hip: Posterior Dislocation of Hip	119		
3953	66452	2.05	Trauma	Injury to Hip: Anterior Dislocation of Hip, Obturator Type	120		
3954	66453	2.05	Trauma	Injury to Hip: Dislocation of Hip with Fracture of Femoral Head	121		
5020	66454	2.05	Trauma	Injury to Femur: Intracapsular Fracture of Femoral Neck	122		
3956	66455	2.05	Trauma	Injury to Femur: Intertrochanteric Fracture of Femur 	123		
3957	66456	2.05	Trauma	Injury to Femur: Subtrochanteric Fracture of Femur	124		
41963	66457	2.05	Trauma	Injury to Femur: Fracture of Shaft of Femur   	125		
3959	66458	2.05	Trauma	Injury to Femur: Fracture of Distal Femur 	126		
41964	66459	2.05	Trauma	Amputation of Lower Limb and Hip (Disarticulation and Hemipelvectomy)	127		
22904	66460	3.01	Knee Anatomy	Topographic Anatomy of the Knee	130		
41965	66461	3.01	Knee Anatomy	Osteology of the Knee	131		
i6875	66468	3.01	Knee Anatomy	Knee: Lateral and Medial Views	132		
i6876	66469	3.01	Knee Anatomy	Knee: Anterior Views	133		
41966	66470	3.01	Knee Anatomy	Knee: Posterior and Sagittal Views	134		
41967	66471	3.01	Knee Anatomy	Knee: Interior View and Cruciate and Collateral Ligaments	135		
41968	66472	3.01	Knee Anatomy	Arteries and Nerves of Knee	136		
41969	66473	3.02	Injury to the Knee	Arthrocentesis of Knee Joint	137		
41970	66474	3.02	Injury to the Knee	Types of Meniscal Tears and Discoid Meniscus Variations	138		
5031	66475	3.02	Injury to the Knee	Tears of the Meniscus	139		
41971	66476	3.02	Injury to the Knee	Medial and Lateral Meniscus	140		
4601	66477	3.02	Injury to the Knee	Rupture of the Anterior Cruciate Ligament	141		
2739	66478	3.02	Injury to the Knee	Lateral Pivot Shift Test for Anterolateral Knee Instability	142		
41972	66479	3.02	Injury to the Knee	Rupture of Cruciate Ligaments: Arthroscopy	143		
3864	66480	3.02	Injury to the Knee	Rupture of Posterior Cruciate Ligament	144		
23030	66481	3.02	Injury to the Knee	Physical Examination of the Leg and Knee	145		
7695	66482	3.02	Injury to the Knee	Sprains of Knee Ligaments	146		
41973	66483	3.02	Injury to the Knee	Disruption of Quadriceps Femoris Tendon or Patellar Ligament	147		
3868	66484	3.02	Injury to the Knee	Dislocation of Knee Joint	148		
41974	66485	3.03	Disorders of the Knee	Progression of Osteochondritis Dissecans	149		
41975	66486	3.03	Disorders of the Knee	Osteonecrosis	150		
5394	66487	3.03	Disorders of the Knee	Tibial Intercondylar Eminence Fracture	151		
5390	66488	3.03	Disorders of the Knee	Synovial Plica	152		
41976	66489	3.03	Disorders of the Knee	Synovial Plica (Arthroscopy), Bursitis, and Iliotibial Band Friction Syndrome	153		
2896	66490	3.03	Disorders of the Knee	Pigmented Villonodular Synovitis and Meniscal Cysts	154		
3994	66491	3.03	Disorders of the Knee	Rehabilitation After Injury to Knee Ligaments	155		
41977	66492	3.03	Disorders of the Knee	Bipartite Patella and Baker’s Cyst	156		
41978	66493	3.03	Disorders of the Knee	Subluxation and Dislocation of Patella	157		
5393	66494	3.03	Disorders of the Knee	Fracture of the Patella	158		
3311	66495	3.03	Disorders of the Knee	Osgood-Schlatter Lesion	159		
5032	66496	3.03	Disorders of the Knee	Knee Arthroplasty: Osteoarthritis of the Knee	160		
41979	66498	3.03	Disorders of the Knee	Knee Arthroplasty: Total Condylar Prosthesis and Unicompartmental Prosthesis	161		
41980	66499	3.03	Disorders of the Knee	Knee Arthroplasty: Posterior Stabilized Knee Prosthesis	162		
41981	66500	3.03	Disorders of the Knee	Total Knee Replacement Technique: Steps 1 to 5	163		
